What's the difference between e.target and e.currentTarget?	e.target = where the event originated. e.currentTarget = the element the listener is bound to. After an async gap currentTarget is null (dispatch finished) — capture it into a const synchronously.	js dom-events
What does the 3rd arg `true` in addEventListener do?	Registers the listener on the CAPTURE phase — fires on the way DOWN (document to target), before any bubble-phase listener. Paired with stopPropagation to intercept an event before another listener sees it.	js dom-events
What is CustomEvent's `detail`?	The one property CustomEvent reserves for your payload; read back as e.detail in the listener. The event is the call, detail is the argument. dispatchEvent(new CustomEvent('x',{detail:data})).	js dom-events
Callback vs closure?	Callback = role (a function passed to be called by another). Closure = nature (every JS function closes over its defining scope). Every callback is a closure; it only USES the closure when it reads an outer variable.	js fundamentals
How do you restart a CSS animation from JS?	el.classList.remove('x'); void el.offsetWidth; el.classList.add('x'). Reading offsetWidth forces a synchronous reflow so the remove is 'real' before the re-add — otherwise remove+add in one tick collapses to no-change.	js dom css
const x = someAsyncFn() — what does x hold?	The Promise, NOT the resolved value. `await x` returns the value but does not mutate x. If you use the value in several places, store the resolved value (e.g. via .then(v => cache = v)).	js async
new Option(label, value) vs building an <option> HTML string?	new Option sets text/value as PROPERTIES — no HTML parsing, so a value with < or & can't break markup (injection-safe). An HTML-string <option> is fragile with those chars.	js dom security
form.action property vs form.getAttribute('action')?	The .action PROPERTY defaults to the page URL when the attribute is absent. getAttribute('action') returns the literal string or null. Use getAttribute when 'null' should mean 'skip this form'.	js dom
Why does a phone field look wrong after form.reset() with inputmask?	reset() clears the value but leaves inputmask's internal buffer stale. Re-apply: $(el).inputmask('remove'); $(el).inputmask(mask).	js inputmask
Rule for a conditional block inside a template literal?	Emit WHOLE elements per branch. Opening a tag in the branch and closing it outside gives a box that works when the condition is true and is broken when false.	js templating
When can http_response_code() still change the HTTP status?	Only before the first body byte is sent. Once any echo flushes output, headers+status are locked. Fix: build-then-echo-once, or ob_start() to buffer output.	php http
ob_start / ob_get_clean / ob_clean / ob_end_flush?	ob_start: capture output to a buffer. ob_get_clean: return+discard buffer as a string. ob_clean: discard buffer, keep capturing. ob_end_flush: stop+send buffer. Buffering keeps headers changeable until flush.	php http
var_dump vs ob_* — how do they relate?	var_dump PRODUCES output (a debug lens). ob_* CONTROLS where any output goes (a pipe). Capture a dump as a string: ob_start(); var_dump($x); $s = ob_get_clean();	php debugging
What does mail() returning true actually mean?	Handed to the local MTA without immediate error — NOT delivered. true = handoff, not delivery. Keep success:true even if mail fails; surface a soft mailQueued:false flag.	php email
require vs require_once?	require_once skips if the file was already included (use for class files to avoid 'Cannot redeclare class'). require always includes.	php
PHP string interpolation rules?	Double quotes and heredoc interpolate; single quotes are literal. Braces {$expr} are required for array access, method calls, and properties: "{$_POST['x']}".	php
PHP vs JS interpolation — when does each run?	PHP: server-side, once, as the string is built (browser only sees flat text). JS template literal: client-side, each time the line executes. Same concept, two machines, two moments.	php js
Why replace isAjaxRequest() (X-Requested-With) with a POST check?	jQuery sets X-Requested-With automatically; fetch/axios do not — so the guard is coupled to a JS library. isPostRequest = REQUEST_METHOD==='POST' && !empty($_POST) is library-agnostic.	php http
405 vs 403 for a refused request?	403 Forbidden = 'not allowed to'. 405 Method Not Allowed = 'wrong HTTP method' (e.g. a GET where POST is required). The status should name the actual reason.	php http
SQL: find items in list A that have no match in list B?	LEFT JOIN B ON key WHERE b.key IS NULL — the join leaves unmatched A rows with NULL on the B side; filter for those. The standard list-diff pattern.	mysql sql
How to check every POSTed key is a real table column?	SELECT k.name FROM (posted keys as UNION) k LEFT JOIN INFORMATION_SCHEMA.COLUMNS c ON c.COLUMN_NAME=k.name AND schema/table WHERE c.COLUMN_NAME IS NULL — prints keys with no column (future 1054s).	mysql sql
mysql -e and \\G?	-e "SQL" runs one statement non-interactively, TSV output. End a statement with \\G instead of ; for vertical (one field per line) output.	mysql cli
MySQL strict-mode error fingerprints?	1054/42S22 = unknown column (schema drift). 1364 = required field with no default (strict only). 1406/22001 = value too long (strict only). 1045 = bad creds. 2002 = host/network.	mysql errors
What does Table::addRow($_POST) do with POST keys?	Inserts EVERY POST key as a column. Any form input that isn't a real column (region toggles, alt-address fields) must be stripped in buildBody or you get 1054 Unknown column.	mysql php
Open a new line below/above from INSERT mode (built-in)?	<C-o>o opens below, <C-o>O opens above. <C-o> runs one normal-mode command then returns to insert; o/O themselves enter insert on the new line.	nvim
How to find where a Neovim mapping was defined?	:verbose imap <key> (or nmap/vmap) — the 'Last set from ...' line names the file/plugin.	nvim
Rule of three (refactoring)?	Extract a shared abstraction after the THIRD duplicate, not the second. Two isn't enough to trust the shape. Premature abstraction is worse than duplication.	architecture
How to externalize per-case variation cleanly?	As DATA (a registry/config object) or small CALLBACKS (toOption, sort, buildBody) — not copied code. Keep the shell, sanitize, and markup single-source.	architecture
Where does payload-shaping (buildBody) end and page UI begin?	buildBody only reshapes/whitelists/validates the payload. UI state (show/hide, region logic) stays on the page. They share no variables — they communicate via the DOM + CustomEvent(detail).	architecture
What should a catch block cover?	Only the failure it names. Wrap risky display/render work in its OWN try so a render bug can't fire the 'network error' toast. A catch that straddles two failures will mislabel one.	architecture
