#separator:Tab
#html:false
#notetype:Basic
#deck:Dev
#tags column:3
"TypeScript - write a generic withTimeout(promise, ms, label) that rejects if the promise doesn't settle in time (the core, no imports)."	"function withTimeout<T>(promise: Promise<T>, ms: number, label: string): Promise<T> {
  return Promise.race([
    promise,
    new Promise<never>((_, reject) =>
      setTimeout(() => reject(new Error(`${label} timed out after ${ms}ms`)), ms),
    ),
  ]);
}"	"donbass-post typescript resilience"
"What's the SHAPE of a promise timeout (to reconstruct withTimeout)?"	"Promise.race([ theRealPromise, aNewPromise<never> that setTimeout(...)s a reject after ms ]).
Settles with whichever finishes first: the real value, or the timeout's rejection.
Type the timeout promise <never> since it only ever rejects."	"donbass-post typescript resilience"
"SOCKS proxy - socks5:// vs socks5h://, and which bypasses a client-side DNS block?"	"socks5:// resolves the hostname CLIENT-side, then connects through the proxy.
socks5h:// makes the PROXY do the DNS.
If the client's network blocks DNS for the target (e.g. Telegram from Russia), use socks5h -
then lookup + connection both happen at the proxy; the client only needs the proxy's IP."	"donbass-post devops proxy"
"grammY - route new Bot() through a SOCKS5 proxy ONLY when a proxy URL is set (inert otherwise)."	"new Bot<TContext>(token, {
  client: proxyUrl
    ? { baseFetchConfig: { agent: new SocksProxyAgent(proxyUrl), compress: true } }
    : undefined,
});"	"donbass-post grammy proxy"
"A bot in a blocked region can't reach an external API. Smallest fix without a full VPN/tunnel?"	"Point the HTTP client at a SOCKS5 proxy on a VPS in an unblocked region
(grammY: client.baseFetchConfig.agent = new SocksProxyAgent(url)).
Only that app's traffic is routed; no container-level routing/tunnel needed.
Use socks5h so DNS happens at the proxy. Gate on an env var so it stays inert where the API is reachable."	"donbass-post devops proxy"
"curl - what does -x do, and how does it differ from -X?"	"-x (lowercase) = --proxy: route the request THROUGH a proxy
  (e.g. -x socks5h://user:pass@ip:1080).
-X (uppercase) = --request: set the HTTP method (-X POST).
One letter apart, completely different."	"donbass-post curl devops"
"Env files - when does a var belong in .env.production vs the base .env?"	".env.production is for OVERRIDES - vars whose VALUE differs by environment
(e.g. DATABASE_URL host: localhost vs postgres:5432).
A var simply absent in dev and present in prod (e.g. TELEGRAM_PROXY) is NOT an override -
put it in the base .env (the file actually loaded), empty locally.
First confirm which file the runtime reads (dotenv loads .env by default, not .env.production)."	"donbass-post devops env"
"You add a prod-only env var but the app doesn't pick it up. First thing to verify?"	"Which env file the runtime actually LOADS. dotenv loads .env by default, not .env.production,
unless explicitly pointed at it. Confirm with:
  exec <svc> sh -c 'echo ${VAR:+set}'
checks the process environment directly. If empty, the var is in a file the app never reads."	"donbass-post devops env"
"Zod - a generic helper mapping a blank/whitespace env string to undefined BEFORE the inner schema runs."	"function emptyAsUndefined<T extends z.ZodType>(schema: T) {
  return z.preprocess((val) => {
    if (typeof val === ""string"" && val.trim() === """") return undefined;
    return val;
  }, schema);
}"	"donbass-post zod env"
"Zod - why does z.coerce.number().optional() turn an empty env string into 0, and the fix?"	"coerce runs FIRST (Number("""") === 0), before .optional() sees the value -
so """" becomes 0 and .optional() never fires.
Fix: z.preprocess maps """" -> undefined BEFORE coercion, restoring the meaning of ""absent""
so .optional() and .refine() work."	"donbass-post zod env"
"Zod - preprocess vs transform: which runs when, and which cleans a blank env var?"	"preprocess runs BEFORE validation (input unknown) - use it to CLEAN input (blank -> undefined).
transform runs AFTER validation - use it to RESHAPE a valid value.
For a blank env var: preprocess, so the cleaned value is what gets validated."	"donbass-post zod env"
"Zod - the .transform().pipe() equivalent of preprocess, and the one gotcha?"	"z.unknown().transform(clean).pipe(schema) - transform's OUTPUT feeds pipe's schema as input
(like cat | grep). Gotcha: a block-body arrow (val) => { ... } with no return returns undefined -
you MUST explicitly return val for the pass-through case.
preprocess reads clearer for cleaning; pipe shines when both stages are real schemas."	"donbass-post zod"
"Prisma - find-or-create a TelegramUser by chatId in a transaction, using const + ?? (no mutable let)."	"const found = await tx.telegramUser.findUnique({
  where: { chatId: BigInt(chatId) },
  select: { id: true, chatId: true },
});
const user = found ?? (await tx.telegramUser.create({
  data: { chatId: BigInt(chatId), isActive: true },
  select: { id: true, chatId: true },
}));"	"donbass-post prisma"
"Prisma - fetch a user's permission names as a Set, gating account (top-level) and roles (nested)."	"const user = await prisma.telegramUser.findUnique({
  where: { chatId: userId, isActive: true },        // account gate (parent)
  select: {
    userRoles: {
      where: { revokedAt: null },                   // role gate (children)
      select: { role: { select: { rolePermissions: {
        select: { permission: { select: { name: true } } },
      } } } },
    },
  },
});
if (!user) return new Set();
return new Set(user.userRoles.flatMap((ur) =>
  ur.role.rolePermissions.map((rp) => rp.permission.name)));"	"donbass-post prisma rbac"
"Prisma - soft-delete revoke: stamp revoked_at on a user's manager role only, don't re-revoke, report if anything changed."	"const { count } = await prisma.userRole.updateMany({
  where: {
    userId: user.id,
    role: { name: Roles.MANAGER },
    revokedAt: null, // guard: don't overwrite an existing revocation timestamp
  },
  data: { revokedAt: new Date() },
});
return count > 0 ? ""revoked"" : ""not_a_manager"";"	"donbass-post prisma rbac"
